Desk,Commodity,Trader Name,Trader Email,Quantity
D-6948,Soybeans,Ellen Fitzgerald,hak@ecizif.io,"84,447"
D-4808,Cocoa,Bruce Briggs,cafbi@fipwo.jo,"85,938"
D-1957,Frozen Concentrated Orange Juice,Clifford Baker,zutazeiho@tijap.mr,"98,664"
D-5557,Soybean Oil,Miguel Carpenter,efi@vid.sk,"38,195"
D-8412,Soybeans,Henry Powell,com@juimumo.ki,"56,796"
D-3765,Sugar No.14,Curtis Blake,ce@ode.gg,"66,236"
D-9711,Soybeans,Chris Gross,facwatu@panfi.by,"6,214"
D-9500,Soybean Meal,Nettie Washington,kikilso@zonajbim.at,"41,916"
D-5287,Soybean Meal,Angel Richards,bagge@berveer.cf,"15,659"
D-1597,Cotton No.2,Marguerite Atkins,okiteti@naodena.in,"82,082"
D-8703,Sugar No.11,Georgie Cannon,bur@bo.tc,"62,989"
D-1487,Cotton No.2,Terry Chapman,va@curtajrop.ga,"89,089"
D-9081,Wheat,Mollie Estrada,boet@cicew.re,"9,864"
D-8713,Cotton No.2,Tommy Wagner,alogiok@bicibme.sh,"49,637"
D-8203,Soybean Meal,Susie Bowman,ku@miwi.eu,"90,389"
D-566,Sugar No.11,Clifford Bryant,ojcimos@erebabona.va,"55,846"
D-2081,Sugar No.11,Henrietta Hansen,pogede@berbud.tz,"93,065"
D-5699,Soybeans,Noah McLaughlin,efozzes@cezrizum.gr,"80,132"
D-1529,Soybean Meal,Harriet Obrien,fe@sugdo.ax,"44,511"
D-1562,Rough Rice,Bradley Hawkins,cuteswim@ji.zw,"47,720"
D-3315,Adzuki bean,Tom Silva,pokwejo@bucgid.bd,"57,443"
D-4794,Corn,Fred Coleman,feif@cup.lv,"56,057"
D-4598,Soybeans,Ian Brady,cufezude@sa.vc,"54,384"
D-1475,Corn,Henry Ball,vi@halkic.ht,"60,695"
D-4345,Sugar No.11,Leila Palmer,lof@ce.cd,"22,880"
D-674,Cotton No.2,Zachary Holloway,noutinak@vobse.ng,"18,929"
D-5728,Sugar No.14,Della Patterson,keco@seivki.tl,"99,299"
D-2495,Wheat,Rosa Robinson,canjunwi@jef.sr,"25,370"
D-7232,Robusta coffee,Etta Butler,zahihis@felceibi.dz,"41,198"
D-4387,Sugar No.11,Derek Oliver,nezotsad@ejafucat.ug,"58,231"
D-7313,Milk,Delia Pittman,gazawaj@roucucum.ax,"83,635"
D-4941,Soybean Oil,Caroline Hart,kaj@tunijaz.ke,"84,806"
D-7850,Soybeans,Annie Owens,akuumrip@vuparami.gw,"27,254"
D-9455,Sugar No.14,Bobby Taylor,hefegojis@vifmep.hr,"31,745"
D-4293,Sugar No.11,Hallie Cohen,av@girpewi.to,"15,939"
D-566,Robusta coffee,Joseph Collier,pekadrof@boza.om,"62,843"
D-8320,Soybean Oil,Cecilia Warner,nefazdu@meurbo.gov,"74,505"
D-2033,Cocoa,Leona Roy,gewaja@fecahpa.ke,"93,006"
D-9969,Cotton No.2,Sadie Salazar,foapo@nihesel.sh,"14,842"
D-5023,Coffee C,Stephen Clarke,zehim@ucujazan.so,"97,017"
D-1012,Rapeseed,Ann Lopez,modba@naanecak.ai,"16,095"
D-9705,Sugar No.11,Gertrude Butler,wodates@uca.mw,"81,397"
D-243,Soybeans,Alta Stone,te@rujenapop.ad,"41,568"
D-2164,Soybean Oil,Bill Ingram,id@juzig.kh,"83,305"
D-4745,Corn,Agnes Norris,cu@imolo.pl,"53,482"
D-6995,Rough Rice,Hulda West,sa@gafmab.ao,"3,592"
D-2260,Coffee C,Nora Sullivan,hijomafi@mefej.tw,"28,261"
D-5394,Soybeans,Stella Curtis,tovanit@zefom.sy,"89,239"
D-1670,Cocoa,Richard Garcia,ogzem@solni.py,"94,992"
D-3446,Sugar No.14,Marvin Jennings,ilaojekel@fudije.cd,"15,117"
D-5862,Corn,Harold Cross,pu@bohfit.il,"48,311"
D-5819,Coffee C,Sophie Green,fitoz@com.yt,"76,801"
D-4451,Adzuki bean,Ian Fields,luz@ala.mq,"21,852"
D-1309,Wheat,Sarah Fuller,hijperiz@zirbiflov.pg,"99,641"
D-1925,Coffee C,Rosa Poole,onuefa@dalbanjiw.sz,"69,413"
D-1347,Frozen Concentrated Orange Juice,Tillie Flores,obfehse@aw.pg,"65,148"
D-9104,Oats,Norman Harvey,sabow@nef.it,"85,454"
D-1322,Corn,Verna Page,bef@detidgib.td,"66,180"
D-4633,Soybeans,Gilbert Simpson,fi@pediv.so,"91,295"
D-8889,Soybeans,Beulah Watson,gubma@jidkizut.yt,"3,726"
D-3428,Coffee C,Lucile Norton,sifmojlo@zogvugon.au,"69,033"
D-3313,Coffee C,Cora Figueroa,ih@kis.ie,"28,678"
D-132,Frozen Concentrated Orange Juice,George Gutierrez,amahol@kih.md,"85,368"
D-8008,Frozen Concentrated Orange Juice,Sylvia Townsend,fope@namdub.st,"47,192"
D-7422,Cotton No.2,Beulah Franklin,kez@we.kp,"59,866"
D-6991,Frozen Concentrated Orange Juice,Nathan Cox,lease@gi.tr,"25,628"
D-4170,Cocoa,Genevieve Sanchez,jecwej@kunifit.su,"94,115"
D-2525,Rapeseed,Georgia Bowen,agipeec@opepepip.si,"91,526"
D-8275,Corn,Tillie French,zahhas@ronpar.gf,"27,419"
D-214,Cotton No.2,Mollie Greene,kuwfiabe@mu.la,"47,195"
D-1248,Corn,Betty Pierce,ce@si.ca,"32,360"
D-3696,Rapeseed,Eugene Mendoza,niz@lewuhcet.gb,"35,502"
D-2184,Wheat,Barry Robertson,fihjiubi@doezewib.ar,"4,501"
D-2336,Sugar No.11,Lela Blake,nasdiciw@kaajo.km,"56,199"
D-542,Cocoa,Alex Carpenter,woduz@estilhah.ba,"52,903"
D-9220,Wheat,Bettie Murphy,fohrav@kunur.ca,"46,248"
D-8499,Soybean Meal,Lucille Hammond,simzefo@bimroipa.kn,"4,828"
D-1990,Sugar No.14,Blake Howell,of@vetdohboj.sn,"53,511"
D-9182,Soybean Oil,May Vaughn,gice@menru.aq,"93,810"
D-7201,Rough Rice,Richard Rodriquez,latuda@tebod.hm,"96,077"
D-3574,Rough Rice,Celia Nelson,jo@na.re,"9,822"
D-4811,Cotton No.2,Olga Mendoza,gapu@bantek.na,"41,450"
D-4911,Soybean Meal,James Alexander,vugol@kahob.pn,"40,047"
D-4655,Cotton No.2,Adele Todd,dic@wi.cn,"23,311"
D-5489,Cocoa,Virginia Hamilton,ter@pu.lt,"62,579"
D-7011,Milk,Dale Romero,elpile@wasitoipi.so,"62,153"
D-5076,Frozen Concentrated Orange Juice,Clara Fitzgerald,mahtedvuf@jil.tz,"90,168"
D-2295,Cocoa,Sean Cain,nomkew@berotsor.it,"79,001"
D-5940,Rapeseed,Katie Maldonado,butal@osigofi.cy,"72,336"
D-9501,Robusta coffee,Gavin Waters,luele@ma.dk,"90,873"
D-5666,Milk,Nettie Carroll,kihcafnol@muhel.mc,"27,204"
D-2210,Rapeseed,Joel Burgess,obaokelah@lubli.bw,"38,037"
D-7551,Frozen Concentrated Orange Juice,Alice Williamson,mebsorlon@godelap.io,"49,263"
D-4858,Milk,Hester Garza,ha@pa.hu,"61,718"
D-3461,Milk,Miguel Boyd,duvkakos@go.nf,"70,419"
D-2770,Sugar No.11,Alma Lawrence,ognem@leto.ro,"27,870"
D-2665,Sugar No.14,Glen Morgan,pudwuf@zirri.kp,"11,023"
D-5848,Coffee C,Max Cortez,amepefig@va.uk,"62,889"
D-7437,Soybeans,Jack George,ibih@wapakka.za,"41,896"
D-5739,Sugar No.14,Edwin Knight,egodi@mipemgi.gn,"64,198"
